tweet_id,tweet_text,year,relevant
652091160597504000,today is national hydrogen and fuel cell day show your support for fuel cells hydrogen fuelcellnow hydrogennow,2015,1
622125669846249472,toyota unveils fcv hydrogen fuel enclosed space sedan gdy,2015,1
639752284390318080,hydrogen engine conversion did you know you can easily convert your car to run on water power,2015,1
591447756620886017,pee power could fuel hydrogen cars,2015,1
664113554266591232,hydrogen group trainee recruitment consultant,2015,1
659697600421953536,honda just unveiled its new hydrogenpowered car,2015,1
552518495024738305,rt mercedesbenzs f concept is a selfdriving hydrogenpowered living room you can’t fault me,2015,1
657892234281537536,동영상 space engineers update hydrogen thrusters mp and battery improvements slide,2015,1
570260992715841537,greet the flying bum aircrafts aerospace hydrogen flyinghigh flyerstalk spaceweather,2015,1
552277952399179776,toyota opens up hydrogen patents almost patents relating to hydrogen fuel cells owned by toyota are bei,2015,1
644594722242211844,first zeroemissions hydrogen filling station opens bbc news,2015,1
644759143799259136,why liquid hydrogen can soar a refined liquid oxygenlfim,2015,1
552870762898407424,new hydrogen storage material can take the heat alternative energy amine borane compound remains stable at s,2015,1
618159820689031169,the clean gren home revolution,2015,1
616246809862627328,honda nissan and toyota commit to greener future for cars tokyo ap — toyota nissan and honda are working,2015,1
636120120503443456,ein wasserstoff auto bei rallye una macchina a idrogeno apre rallye hydrogen car to open rally wrc mirai,2015,1
673006046844096512,how establish a hydrogen fuel cell to run your car on water,2015,1
606452738189164544,second toyota mirai video hydrogen is like first oil well green car reports,2015,1
623337706345603072,nanowires help produce hydrogen fuel using sunlight,2015,1
613016983651618816,fuel cell hydrogen news is out stories via,2015,1
653797503557611520,uks first zeroemission hydrogen filling station opens,2015,1
667666023106105344,hydrogen fuel cell – its benefits and challenges,2015,1
557263432098271233,honda vs toyota the hydrogen fuelcell cars of the future theyre closer than you think,2015,1
653853754521882624,hypersolar inc hysr otcqb hypersolar expresses optimism for role within hydrogen fuel economy as the conc,2015,1
552259812898390016,toyota to offer access to hydrogen fuel cell patents royalty free to speed adoption of hfc cars,2015,1
679952075732717568,via a smart home energy storage solution in thailand renewables solar hydrogen …,2015,1
617365883695038464,bmw reveals hydrogen stealth car can go miles on a tank via,2015,1
584533813113425921,hydrogen engine conversion did you know you can easily convert your car to run on water power,2015,1
614058149574676482,stanford discovers cheap way to produce hydrogen,2015,1
579689143640313857,prime consulting alliance money business capital smogbeater first hydrogen powered tram developed in,2015,1
602362911843979264,the hyundai ix runs on hydrogen and produces water as a byproduct,2015,1
661319549082447872,honda just made a car that emits water vapor is this the start of a zeroemission economy via,2015,1
656784186364170240,explore the toyota mirai fuel cell vehicle and leave your mark to support hydrogen in your area,2015,1
618744025277952000,hydrogen project gets bin lorry boost fcev,2015,1
635915131654791168,iladies british firm builds experimental iphone with hydrogen fuel cell applenews,2015,1
679997167092641792,these hydrogen fuel cells can keep a drone in air for up to two hours via h hydrogen fcv,2015,1
680140711015006208,zeroemission container feeder vessel a hydrogen powered ship by dnv gl maritime services,2015,1
575926835051130880,aberdeen goes green as hydrogen refuelling station for fleet of ten buses opens,2015,1
552466969971425280,ces highlights ultrahd tvs curved phones and hydrogenpowered cars marked day one of the show tech fi,2015,1
578245505760813057,theres a good turnout for todays inaugural lecture with prof david book discussing hydrogen energy epsinaug,2015,1
672531634969800704,final step in fueling now starting with loading of liquid hydrogen into centaur,2015,1
664622156089679876,that leaked bmw hydrogen concept may not run on hydrogen gets mpg instead report,2015,1
659262290051530752,auto power play japans hydrogen car vs chinas battery drive by norihiko shirouzu and paul lienert tokyode,2015,1
591334885752635393,ap toyota to provide st hydrogenfueled pace car,2015,1
602602736291487745,hello tech support could you help that is related to hydrogen gas storage in a low pressure environment by using nanotec,2015,1
560231750924644352,ab toyota promoting mirai as if hydrogen tax credit never went away,2015,1
586205715678781440,pee power could fuel hydrogen cars,2015,1
616775887887798272,new method can make cheaper solar energy storage storing solar energy as hydrogen is a promising way for deve,2015,1
620945007126536193,hot toyota takes orders for its hydrogenfueled mirai on july th prebreak best,2015,1
654787572313387008,toyota intros hydrogen fuel cell mirai with “back to the future” tiein on movie’s anniversary,2015,1
638661292975353856,sparkbrighton hydrogen powered vehicle building great fun,2015,1
661915343577714688,china patent leak may show bmw hydrogen fuel cell car… laautoshow bmw bmwi concept autos car trucks,2015,1
591320646040223744,as the hydrogen debate rages toyota admits its mirai fcv is literally ‘fueled by bullsht’ toyota and filmma,2015,1
666194345998073856,further investment of £k from nwfee gives us a great opportunity to move forward with hydrogen hiced ulev,2015,1
555985636348280833,i remember when they laughed at me for doing a project on hydrogen cars my senior yr of high school said it wasnt happening,2015,1
555180944865656832,honda introduces vehicle powered by hydrogen,2015,1
